model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
cb,0,"1, 4, 8",0.81006,0.80112,0.01564,-0.00893,,"[0.79329609, 0.79329609, 0.79329609, 0.83240223, 0.79329609]"
cb,0,"1, 4, 9",0.81006,0.80112,0.01564,-0.00893,,"[0.79329609, 0.79329609, 0.79329609, 0.83240223, 0.79329609]"
cb,0,"1, 4, 10",0.81006,0.8,0.01634,-0.01005,,"[0.79329609, 0.79329609, 0.78770950, 0.83240223, 0.79329609]"
cb,0,"1, 4, 11",0.81006,0.81006,0.02804,0.0,,"[0.81005587, 0.77653631, 0.81005587, 0.86033520, 0.79329609]"
cb,0,"1, 5, 6",0.81006,0.80335,0.03845,-0.0067,,"[0.76536313, 0.79888268, 0.78770950, 0.87709497, 0.78770950]"
cb,0,"1, 5, 7",0.81006,0.8067,0.03112,-0.00336,,"[0.78770950, 0.81005587, 0.78770950, 0.86592179, 0.78212291]"
cb,0,"1, 5, 8",0.81006,0.80559,0.03068,-0.00446,,"[0.78770950, 0.79888268, 0.78212291, 0.86592179, 0.79329609]"
cb,0,"1, 5, 9",0.81006,0.80559,0.03188,-0.00446,,"[0.78770950, 0.81005587, 0.78212291, 0.86592179, 0.78212291]"
cb,0,"1, 5, 10",0.81006,0.8067,0.0284,-0.00336,,"[0.78770950, 0.81005587, 0.78212291, 0.86033520, 0.79329609]"
cb,0,"1, 5, 11",0.81006,0.81117,0.02791,0.0011,,"[0.79888268, 0.80446927, 0.79888268, 0.86592179, 0.78770950]"
cb,0,"1, 6, 7",0.81006,0.8,0.03108,-0.01005,,"[0.78770950, 0.78770950, 0.77094972, 0.86033520, 0.79329609]"
cb,0,"1, 6, 8",0.81006,0.79888,0.03219,-0.01117,,"[0.78770950, 0.78770950, 0.76536313, 0.86033520, 0.79329609]"
cb,0,"1, 6, 9",0.81006,0.80335,0.02857,-0.0067,,"[0.78770950, 0.78770950, 0.78770950, 0.86033520, 0.79329609]"
cb,0,"1, 6, 10",0.81006,0.80335,0.02857,-0.0067,,"[0.78770950, 0.78770950, 0.78770950, 0.86033520, 0.79329609]"
cb,0,"1, 6, 11",0.81006,0.8067,0.03092,-0.00336,,"[0.80446927, 0.77653631, 0.79329609, 0.86592179, 0.79329609]"
cb,0,"1, 7, 8",0.81006,0.79888,0.01836,-0.01117,,"[0.79888268, 0.79329609, 0.77653631, 0.83240223, 0.79329609]"
cb,0,"1, 7, 9",0.81006,0.80559,0.01431,-0.00446,,"[0.80446927, 0.79329609, 0.80446927, 0.83240223, 0.79329609]"
cb,0,"1, 7, 10",0.81006,0.81006,0.0229,0.0,,"[0.80446927, 0.79329609, 0.80446927, 0.85474860, 0.79329609]"
cb,0,"1, 7, 11",0.81006,0.81117,0.02381,0.0011,,"[0.81564246, 0.78770950, 0.80446927, 0.85474860, 0.79329609]"
cb,0,"1, 8, 9",0.81006,0.80335,0.02677,-0.0067,,"[0.79888268, 0.79329609, 0.77653631, 0.85474860, 0.79329609]"
cb,0,"1, 8, 10",0.81006,0.80335,0.02677,-0.0067,,"[0.79888268, 0.79329609, 0.77653631, 0.85474860, 0.79329609]"
cb,0,"1, 8, 11",0.81006,0.81229,0.02563,0.00222,,"[0.81005587, 0.78770950, 0.81005587, 0.86033520, 0.79329609]"
cb,0,"1, 9, 10",0.81006,0.81006,0.0229,0.0,,"[0.80446927, 0.79329609, 0.80446927, 0.85474860, 0.79329609]"
cb,0,"1, 9, 11",0.81006,0.81229,0.0236,0.00222,,"[0.81564246, 0.78770950, 0.81005587, 0.85474860, 0.79329609]"
cb,0,"1, 10, 11",0.81006,0.81117,0.02354,0.0011,,"[0.81005587, 0.78770950, 0.81005587, 0.85474860, 0.79329609]"
cb,0,"2, 3, 4",0.81006,0.7933,0.031,-0.01675,,"[0.80446927, 0.76536313, 0.77094972, 0.84916201, 0.77653631]"
cb,0,"2, 3, 5",0.81006,0.77654,0.02029,-0.03351,,"[0.77653631, 0.78212291, 0.74860335, 0.81005587, 0.76536313]"
cb,0,"2, 3, 6",0.81006,0.76648,0.02769,-0.04357,,"[0.74860335, 0.75977654, 0.75418994, 0.82122905, 0.74860335]"
cb,0,"2, 3, 7",0.81006,0.76648,0.02161,-0.04357,,"[0.76536313, 0.77094972, 0.74860335, 0.80446927, 0.74301676]"
cb,0,"2, 3, 8",0.81006,0.79441,0.03188,-0.01565,,"[0.79888268, 0.77094972, 0.77653631, 0.85474860, 0.77094972]"
cb,0,"2, 3, 9",0.81006,0.78436,0.02658,-0.0257,,"[0.79329609, 0.76536313, 0.77094972, 0.83240223, 0.75977654]"
cb,0,"2, 3, 10",0.81006,0.75978,0.0206,-0.05027,,"[0.75418994, 0.75977654, 0.74301676, 0.79888268, 0.74301676]"
cb,0,"2, 3, 11",0.81006,0.76983,0.02042,-0.04022,,"[0.76536313, 0.75977654, 0.75977654, 0.81005587, 0.75418994]"
cb,0,"2, 4, 5",0.81006,0.79777,0.02791,-0.01229,,"[0.80446927, 0.78212291, 0.77094972, 0.84916201, 0.78212291]"
cb,0,"2, 4, 6",0.81006,0.79553,0.03191,-0.01453,,"[0.81564246, 0.77094972, 0.77094972, 0.84916201, 0.77094972]"
cb,0,"2, 4, 7",0.81006,0.79441,0.03006,-0.01565,,"[0.80446927, 0.77094972, 0.77653631, 0.84916201, 0.77094972]"
cb,0,"2, 4, 8",0.81006,0.7933,0.031,-0.01675,,"[0.80446927, 0.76536313, 0.77094972, 0.84916201, 0.77653631]"
cb,0,"2, 4, 9",0.81006,0.79218,0.03168,-0.01788,,"[0.80446927, 0.76536313, 0.77094972, 0.84916201, 0.77094972]"
cb,0,"2, 4, 10",0.81006,0.7933,0.031,-0.01675,,"[0.80446927, 0.76536313, 0.77094972, 0.84916201, 0.77653631]"
cb,0,"2, 4, 11",0.81006,0.80112,0.0236,-0.00893,,"[0.81005587, 0.78212291, 0.78770950, 0.84357542, 0.78212291]"
cb,0,"2, 5, 6",0.81006,0.77765,0.02533,-0.03241,,"[0.75977654, 0.77653631, 0.76536313, 0.82681564, 0.75977654]"
cb,0,"2, 5, 7",0.81006,0.77654,0.0187,-0.03351,,"[0.78212291, 0.78212291, 0.74860335, 0.80446927, 0.76536313]"
cb,0,"2, 5, 8",0.81006,0.79441,0.02677,-0.01565,,"[0.79888268, 0.78212291, 0.76536313, 0.84357542, 0.78212291]"
cb,0,"2, 5, 9",0.81006,0.80223,0.02611,-0.00783,,"[0.81005587, 0.79329609, 0.78212291, 0.84916201, 0.77653631]"
cb,0,"2, 5, 10",0.81006,0.77318,0.02048,-0.03688,,"[0.76536313, 0.77653631, 0.74860335, 0.81005587, 0.76536313]"
cb,0,"2, 5, 11",0.81006,0.77877,0.02195,-0.03129,,"[0.76536313, 0.77653631, 0.75977654, 0.82122905, 0.77094972]"
cb,0,"2, 6, 7",0.81006,0.77207,0.02813,-0.03798,,"[0.77653631, 0.77094972, 0.75418994, 0.82122905, 0.73743017]"
cb,0,"2, 6, 8",0.81006,0.79441,0.02943,-0.01565,,"[0.79888268, 0.76536313, 0.78212291, 0.84916201, 0.77653631]"
cb,0,"2, 6, 9",0.81006,0.79106,0.03172,-0.019,,"[0.79329609, 0.76536313, 0.78770950, 0.84916201, 0.75977654]"
cb,0,"2, 6, 10",0.81006,0.76313,0.03052,-0.04693,,"[0.74860335, 0.75977654, 0.75418994, 0.82122905, 0.73184358]"
cb,0,"2, 6, 11",0.81006,0.77877,0.02251,-0.03129,,"[0.78212291, 0.75977654, 0.76536313, 0.82122905, 0.76536313]"
cb,0,"2, 7, 8",0.81006,0.79218,0.03048,-0.01788,,"[0.79888268, 0.77094972, 0.77094972, 0.84916201, 0.77094972]"
cb,0,"2, 7, 9",0.81006,0.79106,0.02773,-0.019,,"[0.79329609, 0.77653631, 0.77653631, 0.84357542, 0.76536313]"
cb,0,"2, 7, 10",0.81006,0.76648,0.02161,-0.04357,,"[0.76536313, 0.77094972, 0.74860335, 0.80446927, 0.74301676]"
cb,0,"2, 7, 11",0.81006,0.7743,0.01955,-0.03576,,"[0.77653631, 0.77094972, 0.75977654, 0.81005587, 0.75418994]"
cb,0,"2, 8, 9",0.81006,0.7933,0.03333,-0.01675,,"[0.79888268, 0.75977654, 0.78212291, 0.85474860, 0.77094972]"
cb,0,"2, 8, 10",0.81006,0.78771,0.03479,-0.02234,,"[0.78770950, 0.75977654, 0.77094972, 0.85474860, 0.76536313]"
cb,0,"2, 8, 11",0.81006,0.79888,0.0212,-0.01117,,"[0.80446927, 0.78770950, 0.78212291, 0.83798883, 0.78212291]"
cb,0,"2, 9, 10",0.81006,0.78436,0.02658,-0.0257,,"[0.79329609, 0.76536313, 0.77094972, 0.83240223, 0.75977654]"
cb,0,"2, 9, 11",0.81006,0.79441,0.02072,-0.01565,,"[0.79329609, 0.78212291, 0.79329609, 0.83240223, 0.77094972]"
cb,0,"2, 10, 11",0.81006,0.77318,0.02167,-0.03688,,"[0.77094972, 0.75977654, 0.75977654, 0.81564246, 0.75977654]"
cb,0,"3, 4, 5",0.81006,0.80223,0.03614,-0.00783,,"[0.79329609, 0.79329609, 0.76536313, 0.87150838, 0.78770950]"
cb,0,"3, 4, 6",0.81006,0.79553,0.03052,-0.01453,,"[0.80446927, 0.78770950, 0.75977654, 0.84916201, 0.77653631]"
cb,0,"3, 4, 7",0.81006,0.78771,0.02422,-0.02234,,"[0.79888268, 0.78212291, 0.75418994, 0.82681564, 0.77653631]"
cb,0,"3, 4, 8",0.81006,0.79218,0.03188,-0.01788,,"[0.79888268, 0.78212291, 0.75418994, 0.84916201, 0.77653631]"
cb,0,"3, 4, 9",0.81006,0.79218,0.03188,-0.01788,,"[0.79888268, 0.78212291, 0.75418994, 0.84916201, 0.77653631]"
cb,0,"3, 4, 10",0.81006,0.78771,0.02422,-0.02234,,"[0.79888268, 0.78212291, 0.75418994, 0.82681564, 0.77653631]"
cb,0,"3, 4, 11",0.81006,0.79553,0.03508,-0.01453,,"[0.80446927, 0.77094972, 0.76536313, 0.86033520, 0.77653631]"
cb,0,"3, 5, 6",0.81006,0.78994,0.034,-0.02012,,"[0.78212291, 0.78770950, 0.76536313, 0.85474860, 0.75977654]"
cb,0,"3, 5, 7",0.81006,0.78659,0.02381,-0.02346,,"[0.79329609, 0.78212291, 0.75418994, 0.82681564, 0.77653631]"
cb,0,"3, 5, 8",0.81006,0.79888,0.03586,-0.01117,,"[0.78770950, 0.79888268, 0.75977654, 0.86592179, 0.78212291]"
cb,0,"3, 5, 9",0.81006,0.80894,0.03451,-0.00112,,"[0.78770950, 0.81564246, 0.77094972, 0.87150838, 0.79888268]"
cb,0,"3, 5, 10",0.81006,0.78771,0.02473,-0.02234,,"[0.78770950, 0.78770950, 0.75977654, 0.83240223, 0.77094972]"
cb,0,"3, 5, 11",0.81006,0.78659,0.03487,-0.02346,,"[0.77094972, 0.78212291, 0.75977654, 0.85474860, 0.76536313]"
cb,0,"3, 6, 7",0.81006,0.78101,0.03207,-0.02905,,"[0.79888268, 0.77653631, 0.74301676, 0.83240223, 0.75418994]"
cb,0,"3, 6, 8",0.81006,0.79218,0.03148,-0.01788,,"[0.79329609, 0.78770950, 0.75418994, 0.84916201, 0.77653631]"
cb,0,"3, 6, 9",0.81006,0.8,0.02835,-0.01005,,"[0.79888268, 0.78770950, 0.78212291, 0.85474860, 0.77653631]"
cb,0,"3, 6, 10",0.81006,0.78547,0.02463,-0.02459,,"[0.79888268, 0.77653631, 0.75977654, 0.82681564, 0.76536313]"
cb,0,"3, 6, 11",0.81006,0.77654,0.02668,-0.03351,,"[0.77653631, 0.74860335, 0.76536313, 0.82681564, 0.76536313]"
cb,0,"3, 7, 8",0.81006,0.79218,0.03284,-0.01788,,"[0.79888268, 0.78212291, 0.74860335, 0.84916201, 0.78212291]"
cb,0,"3, 7, 9",0.81006,0.79777,0.02677,-0.01229,,"[0.79888268, 0.78212291, 0.77653631, 0.84916201, 0.78212291]"
cb,0,"3, 7, 10",0.81006,0.78324,0.02508,-0.02681,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.77094972]"
cb,0,"3, 7, 11",0.81006,0.78324,0.02558,-0.02681,,"[0.78212291, 0.77094972, 0.77094972, 0.83240223, 0.75977654]"
cb,0,"3, 8, 9",0.81006,0.79218,0.03284,-0.01788,,"[0.79888268, 0.78212291, 0.74860335, 0.84916201, 0.78212291]"
cb,0,"3, 8, 10",0.81006,0.79218,0.03284,-0.01788,,"[0.79888268, 0.78212291, 0.74860335, 0.84916201, 0.78212291]"
cb,0,"3, 8, 11",0.81006,0.79665,0.0349,-0.01341,,"[0.80446927, 0.78212291, 0.75977654, 0.86033520, 0.77653631]"
cb,0,"3, 9, 10",0.81006,0.79777,0.02677,-0.01229,,"[0.79888268, 0.78212291, 0.77653631, 0.84916201, 0.78212291]"
cb,0,"3, 9, 11",0.81006,0.80335,0.02769,-0.0067,,"[0.80446927, 0.78212291, 0.79888268, 0.85474860, 0.77653631]"
cb,0,"3, 10, 11",0.81006,0.78659,0.02677,-0.02346,,"[0.78770950, 0.77094972, 0.77094972, 0.83798883, 0.76536313]"
cb,0,"4, 5, 6",0.81006,0.81006,0.02998,0.0,,"[0.78212291, 0.79329609, 0.79329609, 0.86592179, 0.81564246]"
cb,0,"4, 5, 7",0.81006,0.79777,0.03265,-0.01229,,"[0.77653631, 0.79888268, 0.77094972, 0.86033520, 0.78212291]"
cb,0,"4, 5, 8",0.81006,0.79888,0.032,-0.01117,,"[0.78212291, 0.79888268, 0.77094972, 0.86033520, 0.78212291]"
cb,0,"4, 5, 9",0.81006,0.80223,0.0299,-0.00783,,"[0.78770950, 0.79888268, 0.77653631, 0.86033520, 0.78770950]"
cb,0,"4, 5, 10",0.81006,0.79888,0.032,-0.01117,,"[0.78212291, 0.79888268, 0.77094972, 0.86033520, 0.78212291]"
cb,0,"4, 5, 11",0.81006,0.80894,0.03227,-0.00112,,"[0.78770950, 0.79888268, 0.80446927, 0.87150838, 0.78212291]"
cb,0,"4, 6, 7",0.81006,0.80223,0.02463,-0.00783,,"[0.80446927, 0.78770950, 0.78212291, 0.84916201, 0.78770950]"
cb,0,"4, 6, 8",0.81006,0.80223,0.02463,-0.00783,,"[0.80446927, 0.78770950, 0.78212291, 0.84916201, 0.78770950]"
cb,0,"4, 6, 9",0.81006,0.80223,0.02463,-0.00783,,"[0.80446927, 0.78770950, 0.78212291, 0.84916201, 0.78770950]"
cb,0,"4, 6, 10",0.81006,0.80223,0.02463,-0.00783,,"[0.80446927, 0.78770950, 0.78212291, 0.84916201, 0.78770950]"
cb,0,"4, 6, 11",0.81006,0.8067,0.02412,-0.00336,,"[0.80446927, 0.77653631, 0.81005587, 0.84916201, 0.79329609]"
cb,0,"4, 7, 8",0.81006,0.79553,0.01752,-0.01453,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
cb,0,"4, 7, 9",0.81006,0.79553,0.01752,-0.01453,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
cb,0,"4, 7, 10",0.81006,0.79553,0.01752,-0.01453,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
cb,0,"4, 7, 11",0.81006,0.79888,0.02892,-0.01117,,"[0.79888268, 0.77653631, 0.78212291, 0.85474860, 0.78212291]"
cb,0,"4, 8, 9",0.81006,0.8,0.02582,-0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,0,"4, 8, 10",0.81006,0.79553,0.01752,-0.01453,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
cb,0,"4, 8, 11",0.81006,0.80335,0.02901,-0.0067,,"[0.79888268, 0.77094972, 0.81005587, 0.85474860, 0.78212291]"
cb,0,"4, 9, 10",0.81006,0.8,0.02582,-0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,0,"4, 9, 11",0.81006,0.8067,0.02796,-0.00336,,"[0.80446927, 0.77653631, 0.81564246, 0.85474860, 0.78212291]"
cb,0,"4, 10, 11",0.81006,0.80447,0.02782,-0.00558,,"[0.79888268, 0.77653631, 0.81005587, 0.85474860, 0.78212291]"
cb,0,"5, 6, 7",0.81006,0.79441,0.03487,-0.01565,,"[0.76536313, 0.78770950, 0.79329609, 0.86033520, 0.76536313]"
cb,0,"5, 6, 8",0.81006,0.80112,0.03152,-0.00893,,"[0.77094972, 0.80446927, 0.78212291, 0.86033520, 0.78770950]"
cb,0,"5, 6, 9",0.81006,0.81006,0.03621,0.0,,"[0.77094972, 0.81005587, 0.80446927, 0.87709497, 0.78770950]"
cb,0,"5, 6, 10",0.81006,0.79777,0.03088,-0.01229,,"[0.77653631, 0.79888268, 0.79329609, 0.85474860, 0.76536313]"
cb,0,"5, 6, 11",0.81006,0.79218,0.02769,-0.01788,,"[0.75977654, 0.78770950, 0.78212291, 0.84357542, 0.78770950]"
